         2227 function calls in 0.007 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\jwt\api_jwt.py:83(_encode_payload)
        6    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:1177(drain)
        6    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\hmac.py:167(new)
        1    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       14    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1087(flush)
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\hmac.py:38(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py:183(encode)
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:757(_register)
        2    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\fc_server.py:191(notify_observers)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:32(timeout)
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:733(call_at)
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\hmac.py:66(_init_hmac)
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:658(formatMessage)
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py:366(create_task)
       14    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
       56    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        3    0.000    0.000    0.000    0.000 {built-in method _hashlib.hmac_new}
        4    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:122(__exit__)
        7    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:751(call_soon)
        9    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\jwt\utils.py:36(base64url_encode)
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:447(format)
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:429(create_task)
        1    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\tokenize.py:299(detect_encoding)
